Time,Open,High,Low,Close
2023-03-17 00:34:00,3342497.0,3342916.0,3340759.0,3340779.0
2023-03-17 00:35:00,3340779.0,3341237.0,3337229.0,3338501.0
2023-03-17 00:36:00,3338766.0,3339092.0,3336321.0,3337097.0
2023-03-17 00:37:00,3337360.0,3337963.0,3336070.0,3337045.0
2023-03-17 00:38:00,3336949.0,3337791.0,3335876.0,3336289.0
2023-03-17 00:39:00,3336289.0,3337393.0,3335200.0,3335673.0
2023-03-17 00:40:00,3335673.0,3338629.0,3334618.0,3337604.0
2023-03-17 00:41:00,3337408.0,3339948.0,3337298.0,3337493.0
2023-03-17 00:42:00,3338193.0,3340117.0,3337624.0,3337965.0
2023-03-17 00:43:00,3337965.0,3339493.0,3337965.0,3337970.0
2023-03-17 00:44:00,3337970.0,3339071.0,3337624.0,3337624.0
2023-03-17 00:45:00,3337474.0,3340129.0,3336884.0,3340121.0
2023-03-17 00:46:00,3340434.0,3340500.0,3335785.0,3339332.0
2023-03-17 00:47:00,3338537.0,3339675.0,3338161.0,3338451.0
2023-03-17 00:48:00,3338205.0,3341678.0,3338029.0,3341199.0
2023-03-17 00:49:00,3341199.0,3342553.0,3339697.0,3340142.0
2023-03-17 00:50:00,3340142.0,3340142.0,3339360.0,3340115.0
2023-03-17 00:51:00,3340115.0,3342111.0,3340115.0,3341926.0
2023-03-17 00:52:00,3341919.0,3341919.0,3339487.0,3339973.0
2023-03-17 00:53:00,3339973.0,3340113.0,3338404.0,3338404.0
2023-03-17 00:54:00,3337979.0,3338294.0,3336632.0,3337079.0
2023-03-17 00:55:00,3337361.0,3339044.0,3336968.0,3338873.0
2023-03-17 00:56:00,3338850.0,3339844.0,3338228.0,3339844.0
2023-03-17 00:57:00,3339844.0,3340549.0,3339020.0,3339324.0
2023-03-17 00:58:00,3339324.0,3339782.0,3337386.0,3337386.0
2023-03-17 00:59:00,3337386.0,3337829.0,3336885.0,3337174.0
2023-03-17 01:00:00,3337064.0,3337809.0,3336285.0,3337809.0

